EstadoMovimientoId,TipoEstadoId,MovimientoId,FechaAlta,HoraAlta,EmpleadoId,ETD,ZonaFondeoId,LatGrados,LatMinutos,LatSegundos,LongGrados,LongMinutos,LongSegundos
3768,3,901,2017-03-16 00:00:00.000,2017-03-21 19:49:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3769,2,901,2017-03-16 00:00:00.000,2017-03-21 19:49:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3770,4,901,2017-03-16 00:00:00.000,2017-03-21 19:49:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3771,3,902,2017-03-16 00:00:00.000,2017-03-22 19:50:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3772,2,902,2017-03-16 00:00:00.000,2017-03-22 19:30:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3773,4,900,2017-03-16 00:00:00.000,2017-03-16 19:56:17.900,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3774,3,903,2017-03-16 00:00:00.000,2017-03-16 20:03:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3775,20,903,2017-03-16 00:00:00.000,2017-03-16 19:30:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3776,2,903,2017-03-16 19:57:00.000,2017-03-16 19:57:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3777,4,899,2017-03-16 00:00:00.000,2017-03-16 20:07:31.573,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3778,4,902,2017-03-16 00:00:00.000,2017-03-22 20:17:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3779,3,904,2017-03-16 00:00:00.000,2017-03-16 20:23:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3780,20,904,2017-03-16 00:00:00.000,2017-03-16 19:45:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3781,2,904,2017-03-16 00:00:00.000,2017-03-16 20:23:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3782,3,905,2017-03-16 00:00:00.000,2017-03-21 20:31:00.000,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
